active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 526 Embedded Strings ""enabled"" restorableSupport.addStateValueAsBoolean(""enabled"", this.enabled); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 528 Embedded Strings ""pattern"" restorableSupport.addStateValueAsString(""pattern"", this.pattern); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 558 Embedded Strings ""positions"" RestorableSupport.StateObject positionsStateObj = restorableSupport.getStateObject(""positions""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 564 Embedded Strings ""position"" restorableSupport.getAllStateObjects(positionsStateObj, ""position""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 605 Embedded Strings ""radius"" Double radiusState = restorableSupport.getStateValueAsDouble(""radius""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 609 Embedded Strings ""enabled"" Boolean enabledState = restorableSupport.getStateValueAsBoolean(""enabled""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 621 Embedded Strings ""pattern"" String patternState = restorableSupport.getStateValueAsString(""pattern""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 625 Embedded Strings ""color"" String colorState = restorableSupport.getStateValueAsString(""color""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 30 Embedded Strings ""Small"" private final static String SIZE_SMALL = ""Small""; String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 31 Embedded Strings ""Medium"" private final static String SIZE_MEDIUM = ""Medium""; String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 32 Embedded Strings ""Large"" private final static String SIZE_LARGE = ""Large""; String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 34 Embedded Strings ""Stripes"" private final static String PATTERN_STRIPES = ""Stripes""; String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 35 Embedded Strings ""Cross Hatched"" private final static String PATTERN_CROSS_HATCHED = ""Cross Hatched""; String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 36 Embedded Strings ""Dots"" private final static String PATTERN_DOTS = ""Dots""; String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 212 Embedded Strings ""Advanced..."" this.advancedButton.setText(""Advanced...""); String"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 295 Embedded Strings ""Choose a color..."" Color c = JColorChooser.showDialog(this, ""Choose a color..."", ((JButton)event.getSource()).getBackground()); Method: showDialog"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 437 Embedded Strings ""Name:"" this.descriptionLabel = new JLabel(""Name:""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 440 Embedded Strings ""Cloud contour"" this.descriptionTextField = new JTextField(""Cloud contour"", 20); Method: JTextField"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 451 Embedded Strings ""Show contour"" this.enabledCheckBox = new JCheckBox(""Show contour""); Method: JCheckBox"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 470 Embedded Strings ""Base:"" this.baseElevationLabel = new JLabel(""Base:""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 473 Embedded Strings ""0"" this.baseElevationTextField = new JTextField(""0"", 5); Method: JTextField"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 484 Embedded Strings ""ft"" this.elevationUnitLabel1 = new JLabel(""ft""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 487 Embedded Strings ""Delta:"" this.deltaElevationLabel = new JLabel(""Delta:""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 490 Embedded Strings ""0"" this.deltaElevationTextField = new JTextField(""0"", 5); Method: JTextField"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 502 Embedded Strings ""+"" this.deltaPlusRadioButton = new JRadioButton(""+""); Method: JRadioButton"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 513 Embedded Strings ""-"" this.deltaMinusRadioButton = new JRadioButton(""-""); Method: JRadioButton"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 523 Embedded Strings ""+/-"" this.deltaBothRadioButton = new JRadioButton(""+/-""); Method: JRadioButton"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 545 Embedded Strings ""Base Increment:"" this.incrementLabel = new JLabel(""Base Increment:""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 553 Embedded Strings ""Down"" this.incrementMinusButton = new JButton(""Down""); Method: JButton"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 564 Embedded Strings ""0"" this.incrementedBaseLabel = new JLabel(""0""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 569 Embedded Strings ""ft"" this.elevationUnitLabel2 = new JLabel(""ft""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 572 Embedded Strings ""Up"" this.incrementPlusButton = new JButton(""Up""); Method: JButton"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 583 Embedded Strings ""Reset"" this.incrementResetButton = new JButton(""Reset""); Method: JButton"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 600 Embedded Strings ""Advanced..."" this.advancedButton = new JButton(""Advanced...""); Method: JButton"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 625 Embedded Strings ""Track points:"" this.segmentsFromLabel = new JLabel(""Track points:""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 639 Embedded Strings ""To:"" this.segmentsToLabel = new JLabel(""To:""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 653 Embedded Strings ""Current segment"" this.currentSegmentCheckBox = new JCheckBox(""Current segment""); Method: JCheckBox"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 665 Embedded Strings ""Whole track"" this.wholeTrackCheckBox = new JCheckBox(""Whole track""); Method: JCheckBox"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 684 Embedded Strings ""Pattern:"" this.patternLabel = new JLabel(""Pattern:""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 712 Embedded Strings ""Opacity:"" this.opacityLabel = new JLabel(""Opacity:""); Method: JLabel"
T,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 728 Embedded Strings ""Color"" this.colorButton = new JButton(""Color""); Method: JButton"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 813 Embedded Strings ""description"" rs.addStateValueAsString(context, ""description"", this.descriptionTextField.getText()); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 814 Embedded Strings ""enabled"" rs.addStateValueAsBoolean(context, ""enabled"", this.enabledCheckBox.isSelected()); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 819 Embedded Strings ""base"" rs.addStateValueAsDouble(context, ""base"", base); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 824 Embedded Strings ""delta"" rs.addStateValueAsDouble(context, ""delta"", delta); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 838 Embedded Strings ""increment"" rs.addStateValueAsString(context, ""increment"", (String)this.incrementSpinner.getValue()); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 839 Embedded Strings ""pattern"" rs.addStateValueAsString(context, ""pattern"", (String)this.patternCombo.getSelectedItem()); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 844 Embedded Strings ""color"" rs.addStateValueAsString(context, ""color"", encodedColor); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 853 Embedded Strings ""description"" String descriptionState = rs.getStateValueAsString(context, ""description""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 857 Embedded Strings ""enabled"" Boolean enabledState = rs.getStateValueAsBoolean(context, ""enabled""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 861 Embedded Strings ""base"" Double baseState = rs.getStateValueAsDouble(context, ""base""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 869 Embedded Strings ""delta"" Double deltaState = rs.getStateValueAsDouble(context, ""delta""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 897 Embedded Strings ""increment"" String incrementState = rs.getStateValueAsString(context, ""increment""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 917 Embedded Strings ""pattern"" String patternState = rs.getStateValueAsString(context, ""pattern""); String"
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeilingPanel.java 929 Embedded Strings ""color"" String colorState = rs.getStateValueAsString(context, ""color""); String"
T,"src/gov/nasa/worldwindx/applications/sar/HelpFrame.java 37 Embedded Strings "" Help"" setTitle(SARApp.APP_NAME + "" Help""); Method: setTitle"
active,"src/gov/nasa/worldwindx/applications/sar/LayerMenu.java 26 Embedded Strings ""Layers"" super(""Layers""); String"
active,"src/gov/nasa/worldwindx/applications/sar/LicenseAgreement.java 35 Embedded Strings ""License Agreement"" private static final String DEFAULT_DIALOG_TITLE = ""License Agreement""; String"
active,"src/gov/nasa/worldwindx/applications/sar/LicenseAgreement.java 127 Embedded Strings ""Exception while installing license key file"" String message = ""Exception while installing license key file""; String"
active,"src/gov/nasa/worldwindx/applications/sar/LicenseAgreement.java 143 Embedded Strings ""Exception while searching license key file"" String message = ""Exception while searching license key file""; String"
T,"src/gov/nasa/worldwindx/applications/sar/LicenseDialog.java 111 Embedded Strings ""Decline"" new Object[] {""Accept"", ""Decline""}, // options Method: showOptionDialog"
T,"src/gov/nasa/worldwindx/applications/sar/LicenseDialog.java 111 Embedded Strings ""Accept"" new Object[] {""Accept"", ""Decline""}, // options Method: showOptionDialog"
T,"src/gov/nasa/worldwindx/applications/sar/LicenseDialog.java 112 Embedded Strings ""Accept"" ""Accept"" //initialValue Method: showOptionDialog"
active,"src/gov/nasa/worldwindx/applications/sar/LicenseDialog.java 117 Embedded Strings ""Exception while displaying license dialog"" String message = ""Exception while displaying license dialog""; String"
T,"src/gov/nasa/worldwindx/applications/sar/LicenseDialog.java 135 Embedded Strings ""OK"" new Object[] {""OK""}, // options Method: showOptionDialog"
T,"src/gov/nasa/worldwindx/applications/sar/LicenseDialog.java 136 Embedded Strings ""OK"" ""OK"" //initialValue Method: showOptionDialog"
active,"src/gov/nasa/worldwindx/applications/sar/LicenseDialog.java 141 Embedded Strings ""Exception while displaying missing license dialog"" String msg = ""Exception while displaying missing license dialog""; String"
active,"src/gov/nasa/worldwindx/applications/sar/LicenseDialog.java 148 Embedded Strings ""License Agreement is missing."" return ""License Agreement is missing.""; String"
active,"src/gov/nasa/worldwindx/applications/sar/LicenseDialog.java 196 Embedded Strings ""Exception while fetching license content"" String message = ""Exception while fetching license content""; String"
active,"src/gov/nasa/worldwindx/applications/sar/NOSALicenseAgreement.java 28 Embedded Strings ""NASA OPEN SOURCE AGREEMENT VERSION 1.3"" params.setValue(DIALOG_TITLE, ""NASA OPEN SOURCE AGREEMENT VERSION 1.3""); String"
T,"src/gov/nasa/worldwindx/applications/sar/PositionTable.java 50 Embedded Strings ""Track Positions"" this.setToolTipText(""Track Positions""); Method: setToolTipText"
active,"src/gov/nasa/worldwindx/applications/sar/PositionTable.java 189 Embedded Strings ""Altitude"" ""#"", ""Latitude"", ""Longitude"", ""Altitude"" String"
active,"src/gov/nasa/worldwindx/applications/sar/PositionTable.java 189 Embedded Strings ""Latitude"" ""#"", ""Latitude"", ""Longitude"", ""Altitude"" String"
active,"src/gov/nasa/worldwindx/applications/sar/PositionTable.java 189 Embedded Strings ""Longitude"" ""#"", ""Latitude"", ""Longitude"", ""Altitude"" String"
active,"src/gov/nasa/worldwindx/applications/sar/PositionTable.java 529 Embedded Strings ""[D|d|\u00B0|'|\u2019|\""|\u201d]"" text = text.replaceAll(""[D|d|\u00B0|'|\u2019|\""|\u201d]"", "" "").replaceAll(""\\s+"", "" ""); String"
active,"src/gov/nasa/worldwindx/applications/sar/PositionTable.java 529 Embedded Strings ""\\s+"" text = text.replaceAll(""[D|d|\u00B0|'|\u2019|\""|\u201d]"", "" "").replaceAll(""\\s+"", "" ""); String"
active,"src/gov/nasa/worldwindx/applications/sar/SAR2.java 72 Embedded Strings ""Imperial"" public static final String UNIT_IMPERIAL = ""Imperial""; String"
active,"src/gov/nasa/worldwindx/applications/sar/SAR2.java 73 Embedded Strings ""Metric"" public static final String UNIT_METRIC = ""Metric""; String"
T,"src/gov/nasa/worldwindx/applications/sar/SAR2.java 276 Embedded Strings ""Enter a new track name"" Object inputValue = JOptionPane.showInputDialog(this, ""Enter a new track name"", ""Add New Track"", Method: showInputDialog"
T,"src/gov/nasa/worldwindx/applications/sar/SAR2.java 276 Embedded Strings ""Add New Track"" Object inputValue = JOptionPane.showInputDialog(this, ""Enter a new track name"", ""Add New Track"", Method: showInputDialog"
active,"src/gov/nasa/worldwindx/applications/sar/SAR2.java 291 Embedded Strings ""Open a track file"" File[] files = showOpenDialog(""Open a track file""); String"
active,"src/gov/nasa/worldwindx/applications/sar/SAR2.java 360 Embedded Strings ""Accepted Files"" CompoundFilter filterAll = new CompoundFilter(filterArray, ""Accepted Files""); String"
T,"src/gov/nasa/worldwindx/applications/sar/SAR2.java 375 Embedded Strings ""Open Track"" this.openFileChooser.setDialogTitle(title != null ? title : ""Open Track""); Method: setDialogTitle"
