active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 34 Embedded Strings ""NASA Earth Observations (NEO) WMS"" protected static final String NEO_SERVICE_TITLE = ""NASA Earth Observations (NEO) WMS""; String",src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java,34,1267,1,"""NASA Earth Observations (NEO) WMS""","protected static final String NEO_SERVICE_TITLE = ""NASA Earth Observations (NEO) WMS"";",4,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 96 Embedded Strings ""Layers"" this.tabbedPane.add(""Layers"", this.layerManagerPanel); String",src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java,96,3913,1,"""Layers""","this.tabbedPane.add(""Layers"", this.layerManagerPanel);",1,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 148 Embedded Strings ""World Wind Application"" System.setProperty(""com.apple.mrj.application.apple.menu.about.name"", ""World Wind Application""); String",src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java,148,6141,1,"""World Wind Application""","System.setProperty(""com.apple.mrj.application.apple.menu.about.name"", ""World Wind Application"");",1,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java 188 Embedded Strings ""World Wind EuroGEOSS Client"" start(""World Wind EuroGEOSS Client"", AppFrame.class); String",src/gov/nasa/worldwindx/applications/eurogeoss/EuroGeossApp.java,188,7431,1,"""World Wind EuroGEOSS Client""","start(""World Wind EuroGEOSS Client"", AppFrame.class);",4,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/GetRecordsRequest.java 94 Embedded Strings ""full"" sb.append(""full""); String",src/gov/nasa/worldwindx/applications/eurogeoss/GetRecordsRequest.java,94,2684,1,"""full""","sb.append(""full"");",0,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 121 Embedded Strings ""Untitled"" return WWUtil.isEmpty(this.record.getTitle()) ? ""Untitled"" : this.record.getTitle(); String",src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java,121,4744,1,"""Untitled""","return WWUtil.isEmpty(this.record.getTitle()) ? ""Untitled"" : this.record.getTitle();",1,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 137 Embedded Strings ""No layers"" sb.append(""No layers""); String",src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java,137,5201,1,"""No layers""","sb.append(""No layers"");",0,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 144 Embedded Strings ""Invalid layers"" sb.append(""Invalid layers""); String",src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java,144,5457,1,"""Invalid layers""","sb.append(""Invalid layers"");",0,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 216 Embedded Strings ""Record has no WMS online resources "" String msg = ""Record has no WMS online resources "" + this.record.getTitle(); String",src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java,216,7703,1,"""Record has no WMS online resources ""","String msg = ""Record has no WMS online resources "" + this.record.getTitle();",0,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 240 Embedded Strings "", using all layers"" String msg = ""Online resource has no name "" + onlineResource + "", using all layers""; String",src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java,240,8766,1,""", using all layers""","String msg = ""Online resource has no name "" + onlineResource + "", using all layers"";",0,String
